,Wall time,Step,Value,relative
0,1513443598.3484054,0,0.7547888159751892,0.0
1,1513443633.2428007,1,0.7784760594367981,0.009692887597613864
2,1513443668.0299294,2,0.7862408757209778,0.019355978899531893
3,1513443703.0572605,3,0.7895038723945618,0.029085793097813926
4,1513443737.9226332,4,0.7992929816246033,0.038770618836085
5,1513443773.0071926,5,0.8005015254020691,0.04851632979181078
6,1513443808.353134,6,0.8045501112937927,0.05833464682102203
7,1513443842.887569,7,0.8084174394607544,0.06792754544152153
8,1513443877.7404187,8,0.8102604150772095,0.07760889258649614
9,1513443913.0419948,9,0.8097468018531799,0.08741488595803579
10,1513443947.6134965,10,0.8109855651855469,0.09701808088355594
11,1513443982.6204007,11,0.8101093769073486,0.1067422209183375
12,1513444017.7379606,12,0.8151549696922302,0.11649709867106543
13,1513444052.299822,13,0.8152456283569336,0.12609761575857797
14,1513444087.3414485,14,0.8176627159118652,0.13583140088452234
15,1513444122.482262,15,0.8186295032501221,0.1455927379263772
16,1513444157.6529715,16,0.8184180259704591,0.15536237948470646
17,1513444192.9458768,17,0.8199589252471924,0.1651659642987781
18,1513444227.8859794,18,0.8171188831329346,0.17487154834800298
19,1513444263.2545009,19,0.8194150924682617,0.1846961376402113
20,1513444298.6606565,20,0.8207746744155884,0.19453118085861207
21,1513444333.7394972,21,0.8210465908050537,0.2042753032843272
22,1513444368.7835398,22,0.8183878064155579,0.2140097595585717
23,1513444403.9486887,23,0.824188768863678,0.2237778564956453
24,1513444439.0304651,24,0.8240981101989746,0.23352279437912835
25,1513444474.618263,25,0.8247326016426086,0.24340829379028744
26,1513444510.164157,26,0.8250045180320741,0.2532821532090505
27,1513444545.735609,27,0.8230406641960144,0.26316311213705273
28,1513444580.6834993,28,0.8248836994171143,0.27287085943751865
29,1513444616.185495,29,0.8256994485855103,0.28273252487182615
30,1513444652.0158393,30,0.8221040368080139,0.29268539832697976
31,1513444687.6182268,31,0.8282373547554016,0.3025749503903919
32,1513444722.9056244,32,0.8267568945884705,0.3123770052856869
33,1513444758.4643257,33,0.8269683718681335,0.32225442230701445
34,1513444793.3826387,34,0.8273611664772034,0.33195395370324454
35,1513444828.687115,35,0.8277539610862732,0.341760752664672
36,1513444864.3176305,36,0.8284790515899658,0.3516581181022856
37,1513444899.633494,37,0.8261224031448364,0.3614680801497565
38,1513444935.4688563,38,0.8279956579208374,0.37142234749264186
39,1513444971.5565646,39,0.8291739821434021,0.3814467108911938
40,1513445007.0217135,40,0.8286603689193726,0.39129814114835526
41,1513445042.383978,41,0.8309867382049559,0.40112099236912196
42,1513445078.052904,42,0.829143762588501,0.41102902736928726
43,1513445113.5338516,43,0.8281769156455994,0.4208848461839888
44,1513445149.1127648,44,0.8269382119178772,0.43076787763171726
45,1513445184.7956932,45,0.8288416266441345,0.4406798021660911
46,1513445221.0300882,46,0.8293250203132629,0.4507449118958579
47,1513445257.0594141,47,0.8273611664772034,0.460753057996432
48,1513445292.9529321,48,0.8292344212532043,0.4707234796550539
49,1513445329.1949725,49,0.8242492079734802,0.48079071309831406
50,1513445364.9892876,50,0.8289020657539368,0.4907335784037908
51,1513445400.883614,51,0.8298386335372925,0.5007042246394687
52,1513445437.0706403,52,0.831228494644165,0.5107561763789918
53,1513445473.1034622,53,0.8256692290306091,0.5207652935716841
54,1513445508.7338724,54,0.8302012085914612,0.5306626297367943
55,1513445544.7937574,55,0.8294761180877686,0.5406792644659678
56,1513445580.0742517,56,0.8300501704216003,0.5504794017473856
57,1513445616.1214926,57,0.8317118883132935,0.560492524239752
58,1513445652.135575,58,0.8292344212532043,0.5704964360263612
59,1513445687.8162522,59,0.8303825259208679,0.580407735241784
60,1513445723.9446704,60,0.8309263586997986,0.5904434069659975
61,1513445759.8730788,61,0.8298990726470947,0.6004235204060873
62,1513445795.6848855,62,0.8326787352561951,0.6103712444835239
63,1513445831.7682226,63,0.8319233655929565,0.6203943936692344
64,1513445867.6468012,64,0.829959511756897,0.6303606655200322
65,1513445903.304667,65,0.8313190937042236,0.6402656282318963
66,1513445939.1641438,66,0.8300501704216003,0.6502265940109889
67,1513445975.1704948,67,0.8297178149223328,0.6602283581760194
68,1513446011.068949,68,0.8310169577598572,0.6702001510063808
69,1513446047.023486,69,0.8299897313117981,0.68018752237161
70,1513446083.3756554,70,0.8308659195899963,0.6902853472365273
71,1513446119.194734,71,0.8300501704216003,0.7002350913153754
72,1513446155.1893888,72,0.8322557210922241,0.7102336064974467
73,1513446191.343764,73,0.8313493132591248,0.7202764885293113
74,1513446227.5627744,74,0.8324974179267883,0.7303373247385025
75,1513446262.9507525,75,0.8332527875900269,0.7401673186487622
76,1513446298.7456105,76,0.8319535851478577,0.7501103347539901
77,1513446334.8304722,77,0.831832766532898,0.7601339074638155
78,1513446371.0649204,78,0.8312888741493225,0.7701990319622888
79,1513446407.3260665,79,0.8321046829223633,0.7802715725368924
80,1513446443.6258314,80,0.8331923484802246,0.7903548405567805
81,1513446480.004124,81,0.8324671983718872,0.8004599218236076
82,1513446516.0861099,82,0.8334340453147888,0.8104826956987381
83,1513446552.5256221,83,0.8294761180877686,0.8206047824356291
84,1513446589.2280395,84,0.832859992980957,0.8307998983727561
85,1513446625.677355,85,0.8317723274230957,0.8409247082471848
86,1513446661.5080812,86,0.8335549235343933,0.8508776877323786
87,1513446698.1464975,87,0.8317723274230957,0.8610550255907906
88,1513446734.6866255,88,0.8325880765914917,0.871205061144299
89,1513446771.4145515,89,0.8328297734260559,0.8814072628153695
90,1513446808.0324044,90,0.8333433866500854,0.8915788886282179
91,1513446844.7429874,91,0.8326787352561951,0.9017762727869881
92,1513446881.396162,92,0.830775260925293,0.9119577101866404
93,1513446917.962248,93,0.8321348428726196,0.9221149563127093
94,1513446954.2078555,94,0.833283007144928,0.9321831805838479
95,1513446990.7199323,95,0.832859992980957,0.9423254241545995
96,1513447027.3719602,96,0.8331923484802246,0.9525065430005392
97,1513447063.4959645,97,0.8341893553733826,0.9625409886572096
98,1513447099.8546028,98,0.8329204320907593,0.9726406104034848
99,1513447137.1493838,99,0.8324974179267883,0.9830002717839347
