Rdzenie procesora,Przyspieszenie
353,9.7513812,
354,9.7520661,
355,9.7527473,
356,9.7534247,
357,9.7540984,
358,9.7547684,
359,9.7554348,
360,9.7560976,
361,9.7567568,
362,9.7574124,
363,9.7580645,
364,9.7587131,
365,9.7593583,
366,9.7600000,
367,9.7606383,
368,9.7612732,
369,9.7619048,
370,9.7625330,
371,9.7631579,
372,9.7637795,
373,9.7643979,
374,9.7650131,
375,9.7656250,
376,9.7662338,
377,9.7668394,
378,9.7674419,
379,9.7680412,
380,9.7686375,
381,9.7692308,
382,9.7698210,
383,9.7704082,
384,9.7709924,
385,9.7715736,
386,9.7721519,
387,9.7727273,
388,9.7732997,
389,9.7738693,
390,9.7744361,
391,9.7750000,
392,9.7755611,
393,9.7761194,
394,9.7766749,
395,9.7772277,
396,9.7777778,
397,9.7783251,
398,9.7788698,
399,9.7794118,
400,9.7799511,
401,9.7804878,
402,9.7810219,
403,9.7815534,
404,9.7820823,
405,9.7826087,
406,9.7831325,
407,9.7836538,
408,9.7841727,
409,9.7846890,
410,9.7852029,
411,9.7857143,
412,9.7862233,
413,9.7867299,
414,9.7872340,
415,9.7877358,
416,9.7882353,
417,9.7887324,
418,9.7892272,
419,9.7897196,
420,9.7902098,
421,9.7906977,
422,9.7911833,
423,9.7916667,
424,9.7921478,
425,9.7926267,
426,9.7931034,
427,9.7935780,
428,9.7940503,
429,9.7945205,
430,9.7949886,
431,9.7954545,
432,9.7959184,
433,9.7963801,
434,9.7968397,
435,9.7972973,
436,9.7977528,
437,9.7982063,
438,9.7986577,
439,9.7991071,
440,9.7995546,
441,9.8000000,
442,9.8004435,
443,9.8008850,
444,9.8013245,
445,9.8017621,
446,9.8021978,
447,9.8026316,
448,9.8030635,
449,9.8034934,
450,9.8039216,
451,9.8043478,
452,9.8047722,
453,9.8051948,
454,9.8056156,
455,9.8060345,
456,9.8064516,
457,9.8068670,
458,9.8072805,
459,9.8076923,
460,9.8081023,
461,9.8085106,
462,9.8089172,
463,9.8093220,
464,9.8097252,
465,9.8101266,
466,9.8105263,
467,9.8109244,
468,9.8113208,
469,9.8117155,
470,9.8121086,
471,9.8125000,
472,9.8128898,
473,9.8132780,
474,9.8136646,
475,9.8140496,
476,9.8144330,
477,9.8148148,
478,9.8151951,
479,9.8155738,
480,9.8159509,
481,9.8163265,
482,9.8167006,
483,9.8170732,
484,9.8174442,
485,9.8178138,
486,9.8181818,
487,9.8185484,
488,9.8189135,
489,9.8192771,
490,9.8196393,
491,9.8200000,
492,9.8203593,
493,9.8207171,
494,9.8210736,
495,9.8214286,
496,9.8217822,
497,9.8221344,
498,9.8224852,
499,9.8228346,
500,9.8231827,
501,9.8235294,
502,9.8238748,
503,9.8242188,
504,9.8245614,
505,9.8249027,
506,9.8252427,
507,9.8255814,
508,9.8259188,
509,9.8262548,
510,9.8265896,
511,9.8269231,
512,9.8272553,
513,9.8275862,
514,9.8279159,
515,9.8282443,
516,9.8285714,
517,9.8288973,
518,9.8292220,
519,9.8295455,
520,9.8298677,
521,9.8301887,
522,9.8305085,
523,9.8308271,
524,9.8311445,
525,9.8314607,
526,9.8317757,
527,9.8320896,
528,9.8324022,
529,9.8327138,
530,9.8330241,
531,9.8333333,
532,9.8336414,
533,9.8339483,
534,9.8342541,
535,9.8345588,
536,9.8348624,
537,9.8351648,
538,9.8354662,
539,9.8357664,
540,9.8360656,
541,9.8363636,
542,9.8366606,
543,9.8369565,
544,9.8372514,
545,9.8375451,
546,9.8378378,
547,9.8381295,
548,9.8384201,
549,9.8387097,
550,9.8389982,
551,9.8392857,
552,9.8395722,
553,9.8398577,
554,9.8401421,
555,9.8404255,
556,9.8407080,
557,9.8409894,
558,9.8412698,
559,9.8415493,
560,9.8418278,
561,9.8421053,
562,9.8423818,
563,9.8426573,
564,9.8429319,
565,9.8432056,
566,9.8434783,
567,9.8437500,
568,9.8440208,
569,9.8442907,
570,9.8445596,
571,9.8448276,
572,9.8450947,
573,9.8453608,
574,9.8456261,
575,9.8458904,
576,9.8461538,
577,9.8464164,
578,9.8466780,
579,9.8469388,
580,9.8471986,
581,9.8474576,
582,9.8477157,
583,9.8479730,
584,9.8482293,
585,9.8484848,
586,9.8487395,
587,9.8489933,
588,9.8492462,
589,9.8494983,
590,9.8497496,
591,9.8500000,
592,9.8502496,
593,9.8504983,
594,9.8507463,
595,9.8509934,
596,9.8512397,
597,9.8514851,
598,9.8517298,
599,9.8519737,
600,9.8522167,
601,9.8524590,
602,9.8527005,
603,9.8529412,
604,9.8531811,
605,9.8534202,
606,9.8536585,
607,9.8538961,
608,9.8541329,
609,9.8543689,
610,9.8546042,
611,9.8548387,
612,9.8550725,
613,9.8553055,
614,9.8555377,
615,9.8557692,
616,9.8560000,
617,9.8562300,
618,9.8564593,
619,9.8566879,
620,9.8569157,
621,9.8571429,
622,9.8573693,
623,9.8575949,
624,9.8578199,
625,9.8580442,
626,9.8582677,
627,9.8584906,
628,9.8587127,
629,9.8589342,
630,9.8591549,
631,9.8593750,
632,9.8595944,
633,9.8598131,
634,9.8600311,
635,9.8602484,
636,9.8604651,
637,9.8606811,
638,9.8608964,
639,9.8611111,
640,9.8613251,
641,9.8615385,
642,9.8617512,
643,9.8619632,
644,9.8621746,
645,9.8623853,
646,9.8625954,
647,9.8628049,
648,9.8630137,
649,9.8632219,
650,9.8634294,
651,9.8636364,
652,9.8638427,
653,9.8640483,
654,9.8642534,
655,9.8644578,
656,9.8646617,
657,9.8648649,
658,9.8650675,
659,9.8652695,
660,9.8654709,
661,9.8656716,
662,9.8658718,
663,9.8660714,
664,9.8662704,
665,9.8664688,
666,9.8666667,
667,9.8668639,
668,9.8670606,
669,9.8672566,
670,9.8674521,
671,9.8676471,
672,9.8678414,
673,9.8680352,
674,9.8682284,
675,9.8684211,
676,9.8686131,
677,9.8688047,
678,9.8689956,
679,9.8691860,
680,9.8693759,
681,9.8695652,
682,9.8697540,
683,9.8699422,
684,9.8701299,
685,9.8703170,
686,9.8705036,
687,9.8706897,
688,9.8708752,
689,9.8710602,
690,9.8712446,
691,9.8714286,
692,9.8716120,
693,9.8717949,
694,9.8719772,
695,9.8721591,
696,9.8723404,
697,9.8725212,
698,9.8727016,
699,9.8728814,
700,9.8730606,
701,9.8732394,
702,9.8734177,
703,9.8735955,
704,9.8737728,
705,9.8739496,
706,9.8741259,
707,9.8743017,
708,9.8744770,
709,9.8746518,
710,9.8748261,
711,9.8750000,
712,9.8751734,
713,9.8753463,
714,9.8755187,
715,9.8756906,
716,9.8758621,
717,9.8760331,
718,9.8762036,
719,9.8763736,
720,9.8765432,
721,9.8767123,
722,9.8768810,
723,9.8770492,
724,9.8772169,
725,9.8773842,
726,9.8775510,
727,9.8777174,
728,9.8778833,
729,9.8780488,
730,9.8782138,
731,9.8783784,
732,9.8785425,
733,9.8787062,
734,9.8788694,
735,9.8790323,
736,9.8791946,
737,9.8793566,
738,9.8795181,
739,9.8796791,
740,9.8798398,
741,9.8800000,
742,9.8801598,
743,9.8803191,
744,9.8804781,
745,9.8806366,
746,9.8807947,
747,9.8809524,
748,9.8811096,
749,9.8812665,
750,9.8814229,
751,9.8815789,
752,9.8817346,
753,9.8818898,
754,9.8820446,
755,9.8821990,
756,9.8823529,
757,9.8825065,
758,9.8826597,
759,9.8828125,
760,9.8829649,
761,9.8831169,
762,9.8832685,
763,9.8834197,
764,9.8835705,
765,9.8837209,
766,9.8838710,
767,9.8840206,
768,9.8841699,
769,9.8843188,
770,9.8844673,
771,9.8846154,
772,9.8847631,
773,9.8849105,
774,9.8850575,
775,9.8852041,
776,9.8853503,
777,9.8854962,
778,9.8856417,
779,9.8857868,
780,9.8859316,
781,9.8860759,
782,9.8862200,
783,9.8863636,
784,9.8865069,
785,9.8866499,
786,9.8867925,
787,9.8869347,
788,9.8870765,
789,9.8872180,
790,9.8873592,
791,9.8875000,
792,9.8876404,
793,9.8877805,
794,9.8879203,
795,9.8880597,
796,9.8881988,
797,9.8883375,
798,9.8884758,
799,9.8886139,
800,9.8887515,
801,9.8888889,
802,9.8890259,
803,9.8891626,
804,9.8892989,
805,9.8894349,
806,9.8895706,
807,9.8897059,
808,9.8898409,
809,9.8899756,
810,9.8901099,
811,9.8902439,
812,9.8903776,
813,9.8905109,
814,9.8906440,
815,9.8907767,
816,9.8909091,
817,9.8910412,
818,9.8911729,
819,9.8913043,
820,9.8914355,
821,9.8915663,
822,9.8916968,
823,9.8918269,
824,9.8919568,
825,9.8920863,
826,9.8922156,
827,9.8923445,
828,9.8924731,
829,9.8926014,
830,9.8927294,
831,9.8928571,
832,9.8929845,
833,9.8931116,
834,9.8932384,
835,9.8933649,
836,9.8934911,
837,9.8936170,
838,9.8937426,
839,9.8938679,
840,9.8939929,
841,9.8941176,
842,9.8942421,
843,9.8943662,
844,9.8944900,
845,9.8946136,
846,9.8947368,
847,9.8948598,
848,9.8949825,
849,9.8951049,
850,9.8952270,
851,9.8953488,
852,9.8954704,
853,9.8955916,
854,9.8957126,
855,9.8958333,
856,9.8959538,
857,9.8960739,
858,9.8961938,
859,9.8963134,
860,9.8964327,
861,9.8965517,
862,9.8966705,
863,9.8967890,
864,9.8969072,
865,9.8970252,
866,9.8971429,
867,9.8972603,
868,9.8973774,
869,9.8974943,
870,9.8976109,
871,9.8977273,
872,9.8978434,
873,9.8979592,
874,9.8980747,
875,9.8981900,
876,9.8983051,
877,9.8984199,
878,9.8985344,
879,9.8986486,
880,9.8987627,
881,9.8988764,
882,9.8989899,
883,9.8991031,
884,9.8992161,
885,9.8993289,
886,9.8994413,
887,9.8995536,
888,9.8996656,
889,9.8997773,
890,9.8998888,
891,9.9000000,
892,9.9001110,
893,9.9002217,
894,9.9003322,
895,9.9004425,
896,9.9005525,
897,9.9006623,
898,9.9007718,
899,9.9008811,
900,9.9009901,
901,9.9010989,
902,9.9012075,
903,9.9013158,
904,9.9014239,
905,9.9015317,
906,9.9016393,
907,9.9017467,
908,9.9018539,
909,9.9019608,
910,9.9020675,
911,9.9021739,
912,9.9022801,
913,9.9023861,
914,9.9024919,
915,9.9025974,
916,9.9027027,
917,9.9028078,
918,9.9029126,
919,9.9030172,
920,9.9031216,
921,9.9032258,
922,9.9033298,
923,9.9034335,
924,9.9035370,
925,9.9036403,
926,9.9037433,
927,9.9038462,
928,9.9039488,
929,9.9040512,
930,9.9041534,
931,9.9042553,
932,9.9043571,
933,9.9044586,
934,9.9045599,
935,9.9046610,
936,9.9047619,
937,9.9048626,
938,9.9049630,
939,9.9050633,
940,9.9051633,
941,9.9052632,
942,9.9053628,
943,9.9054622,
944,9.9055614,
945,9.9056604,
946,9.9057592,
947,9.9058577,
948,9.9059561,
949,9.9060543,
950,9.9061522,
951,9.9062500,
952,9.9063476,
953,9.9064449,
954,9.9065421,
955,9.9066390,
956,9.9067358,
957,9.9068323,
958,9.9069286,
959,9.9070248,
960,9.9071207,
961,9.9072165,
962,9.9073120,
963,9.9074074,
964,9.9075026,
965,9.9075975,
966,9.9076923,
967,9.9077869,
968,9.9078813,
969,9.9079755,
970,9.9080695,
971,9.9081633,
972,9.9082569,
973,9.9083503,
974,9.9084435,
975,9.9085366,
976,9.9086294,
977,9.9087221,
978,9.9088146,
979,9.9089069,
980,9.9089990,
981,9.9090909,
982,9.9091826,
983,9.9092742,
984,9.9093656,
985,9.9094567,
986,9.9095477,
987,9.9096386,
988,9.9097292,
989,9.9098196,
990,9.9099099,
991,9.9100000,
992,9.9100899,
993,9.9101796,
994,9.9102692,
995,9.9103586,
996,9.9104478,
997,9.9105368,
998,9.9106256,
999,9.9107143,
1000,9.9108028,
1001,9.9108911,
1002,9.9109792,
1003,9.9110672,
1004,9.9111550,
1005,9.9112426,
1006,9.9113300,
1007,9.9114173,
1008,9.9115044,
1009,9.9115914,
1010,9.9116781,
1011,9.9117647,
1012,9.9118511,
1013,9.9119374,
1014,9.9120235,
1015,9.9121094,
1016,9.9121951,
1017,9.9122807,
1018,9.9123661,
1019,9.9124514,
1020,9.9125364,
1021,9.9126214,
1022,9.9127061,
1023,9.9127907,
1024,9.9128751,
1025,9.9129594,
1026,9.9130435,
1027,9.9131274,
1028,9.9132112,
1029,9.9132948,
1030,9.9133782,
1031,9.9134615,
1032,9.9135447,
1033,9.9136276,
1034,9.9137105,
1035,9.9137931,
1036,9.9138756,
1037,9.9139579,
1038,9.9140401,
1039,9.9141221,
1040,9.9142040,
1041,9.9142857,
1042,9.9143673,
1043,9.9144487,
1044,9.9145299,
1045,9.9146110,
1046,9.9146919,
1047,9.9147727,
1048,9.9148534,
1049,9.9149338,
1050,9.9150142,
1051,9.9150943,
1052,9.9151744,
1053,9.9152542,
1054,9.9153340,
1055,9.9154135,
1056,9.9154930,
1057,9.9155722,
1058,9.9156514,
1059,9.9157303,
1060,9.9158092,
1061,9.9158879,
1062,9.9159664,
1063,9.9160448,
1064,9.9161230,
1065,9.9162011,
1066,9.9162791,
1067,9.9163569,
1068,9.9164345,
1069,9.9165121,
1070,9.9165894,
1071,9.9166667,
1072,9.9167438,
1073,9.9168207,
1074,9.9168975,
1075,9.9169742,
1076,9.9170507,
1077,9.9171271,
1078,9.9172033,
1079,9.9172794,
1080,9.9173554,
1081,9.9174312,
1082,9.9175069,
1083,9.9175824,
1084,9.9176578,
1085,9.9177331,
1086,9.9178082,
1087,9.9178832,
1088,9.9179581,
1089,9.9180328,
1090,9.9181074,
1091,9.9181818,
1092,9.9182561,
1093,9.9183303,
1094,9.9184044,
1095,9.9184783,
1096,9.9185520,
1097,9.9186257,
1098,9.9186992,
